title,base_class,who_class_group,gender,gender_confidence,source,classification_confidence,skill_requirement_notes,level_restriction_notes,race_restriction_notes,alignment_restriction_notes,notes
Beastmaster,Magic-user,Magic-user,,,mume_class_title_list,medium,Unknown percent Charm,,,,Charm-related magic-user title; do not infer male gender from Master alone
Sage,Magic-user,Magic-user,,,mume_class_title_list,high,,,,,Magic-user who-class title
Scholar,Magic-user,Magic-user,,,mume_class_title_list,high,,,,,Magic-user who-class title
Seer,Magic-user,Magic-user,,,mume_class_title_list,high,,,,,Magic-user who-class title
Warlock,Magic-user,Magic-user,male,medium,mume_class_title_list,high,,,,,Magic-user title; male-coded but keep cautious
Witch,Magic-user,Magic-user,female,high,mume_class_title_list,high,,,,,Female-coded magic-user title
Wizard,Magic-user,Magic-user,,,mume_class_title_list,high,,,,,Magic-user title; do not infer male gender from Wizard alone
Warrior,Warrior,Warrior,,,legacy_or_observed_alias,medium,,,,,Generic warrior class word
Fighter,Warrior,Warrior,,,legacy_or_observed_alias,low,,,,,Generic martial word; not in supplied MUME who-class list
Swordsman,Warrior,Warrior,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style title; use cautiously
Swordswoman,Warrior,Warrior,female,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style title; use cautiously
Mercenary,Warrior,Warrior,,,legacy_or_observed_alias,low,,,,,Observed/generic martial title; not in supplied MUME who-class list
Knight,Warrior,Warrior,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style title; use cautiously
Chevalier,Warrior,Warrior,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style title; use cautiously
Justiciar,Warrior,Warrior,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style title; use cautiously
Lord,Warrior,Warrior,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style title; use cautiously
Knight Lord,Warrior,Warrior,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style title; use cautiously
Thief,Thief,Thief,,,legacy_or_observed_alias,medium,,,,,Generic thief class word
Sneak,Thief,Thief,,,legacy_or_observed_alias,low,,,,,Thief-like observed title; not in supplied MUME who-class list
Cutpurse,Thief,Thief,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style thief title; use cautiously
Robber,Thief,Thief,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style thief title; use cautiously
Burglar,Thief,Thief,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style thief title; use cautiously
Pilferer,Thief,Thief,,,legacy_or_observed_alias,low,,,,,Thief-like observed title; not in supplied MUME who-class list
Foodpad,Thief,Thief,,,legacy_or_observed_alias,low,,,,,Original Diku spelling/possible typo; alias only
Magsman,Thief,Thief,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style thief title; use cautiously
Senior Thief,Thief,Thief,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style thief title; use cautiously
Guildsmaster,Thief,Thief,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style thief title; use cautiously
Cleric,Cleric,Cleric,,,legacy_or_observed_alias,medium,,,,,Generic cleric class word
Monk,Cleric,Cleric,male,medium,legacy_or_observed_alias,low,,,,,Observed/legacy cleric-like title; not in supplied MUME who-class list
Nun,Cleric,Cleric,female,medium,legacy_or_observed_alias,low,,,,,Observed/legacy cleric-like title; not in supplied MUME who-class list
Druid,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Observed/legacy cleric-like title; not in supplied MUME who-class list
Shaman,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Observed/legacy cleric-like title; not in supplied MUME who-class list
Believer,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Acolyte,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Adept,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Adebt,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Original Diku spelling/typo; alias only
Curate,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Canon,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Lama,Cleric,Cleric,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Patriarc,Cleric,Cleric,male,medium,legacy_or_observed_alias,low,,,,,Original Diku spelling/variant
High Priest,Cleric,Cleric,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Noble Priest,Cleric,Cleric,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style cleric title; use cautiously
Mage,Magic-user,Magic-user,,,legacy_or_observed_alias,medium,,,,,Generic magic-user class word
Sorcerer,Magic-user,Magic-user,male,medium,legacy_or_observed_alias,low,,,,,Observed magic-user-like title; not in supplied MUME who-class list
Sorceress,Magic-user,Magic-user,female,high,legacy_or_observed_alias,low,,,,,Female-coded magic-user-like title; not in supplied MUME who-class list
Enchanter,Magic-user,Magic-user,male,medium,legacy_or_observed_alias,low,,,,,Legacy/Diku-style magic-user title; use cautiously
Enchantress,Magic-user,Magic-user,female,high,legacy_or_observed_alias,low,,,,,Female-coded legacy/Diku-style magic-user title; use cautiously
Wizardess,Magic-user,Magic-user,female,high,legacy_or_observed_alias,low,,,,,Female-coded counterpart to Wizard; not in supplied MUME who-class list
Novice,,,,,legacy_or_observed_alias,low,,,,,Generic low-level title; do not infer class alone
Apprentice,Magic-user,Magic-user,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style magic-user title; use cautiously
Spellbinder,Magic-user,Magic-user,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style magic-user title; use cautiously
Conjurer,Magic-user,Magic-user,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style magic-user title; use cautiously
Magician,Magic-user,Magic-user,,,legacy_or_observed_alias,low,,,,,Legacy/Diku-style magic-user title; use cautiously
Brute,Warrior,Warrior,,,legacy_or_observed_alias,low,,,,,Observed martial troll/orc style title; not in supplied MUME who-class list
Wrecker,Warrior,Warrior,,,legacy_or_observed_alias,low,,,,,Observed martial troll/orc style title; not in supplied MUME who-class list
Smasher,Warrior,Warrior,,,legacy_or_observed_alias,low,,,,,Observed martial title; not in supplied MUME who-class list
Warg-rider,Warrior,Warrior,,,legacy_or_observed_alias,low,,,,,Observed mounted martial title; not in supplied MUME who-class list
Softskin,,,,,legacy_or_observed_alias,low,,,,,Troll descriptor; not enough evidence for class
Snaga,,,,,legacy_or_observed_alias,low,,,,,Orc status/title; not enough evidence for class
Master,,,male,low,legacy_or_observed_alias,low,,,,,Generic title only; very weak gender evidence
Mistress,,,female,medium,legacy_or_observed_alias,low,,,,,Generic title only; weak class evidence
Warg,,,,,legacy_or_observed_alias,low,,,,,Creature/descriptor; not enough evidence for class
Wanderer,,,,,legacy_or_observed_alias,low,,,,,Generic/custom-style descriptor; do not infer base class
