source_whois_id,source_character_id,source_character_name,whois_descriptor,whois_text_excerpt,possible_guild_or_clan,evidence_type,evidence_excerpt,confidence,needs_review
whois_calrandir_1780907432,char_calrandir,Calrandir,Dúnadan Ranger,"Calrandir Wanderer of Light, of the Grey Company is a level thirty
    Dúnadan Ranger [Retired].
Last login 5 years, 4 months, and 6 days ago from *.st.

A proud Dúnadan ranger by birth and by occupation, Calrandir travels the land
around Bree alone, protecting it from any evil Sauron might send upon it.",,group_keyword_line,"Calrandir Wanderer of Light, of the Grey Company is a level thirty",medium,yes
whois_calvin_1780907437,char_calvin,Calvin,Beorning Hero,"Calvin Klein is a level thirty-one Beorning Hero [Retired].
Last login 23 years and 4 months ago from *.com.
Proud member of Army Of Lovers! (codename: cK1).",,group_keyword_line,Proud member of Army Of Lovers! (codename: cK1).,medium,yes
whois_clangedin_1780907664,char_clangedin,Clangedin,Dwarf,"Clangedin Silverbeard is a Dwarf [Retired].
Last login 20 years and 5 days ago.

Kills on trophy only counted:
Ye can only GUESS!",,group_keyword_line,Clangedin Silverbeard is a Dwarf [Retired].,low,yes
whois_dement_1780907923,char_dement,Dement,Orc,"Dement bleh! is an Orc [Retired].

""..... We are the fighting Uruk-Hai! We slew the great warrior.
We took the prisoners. We are the servants of Saruman the Wise,
The White Hand:  The Hand that  gives us  man's-flesh  to  eat.
We  came out of  Isengard, and led you here, and we shall  lead
you back by the way we choose. I am Dement. I have spoken.... """,,group_keyword_line,"We took the prisoners. We are the servants of Saruman the Wise,",low,yes
whois_doreth_1780908089,char_doreth,Doreth,Dwarf,"Doreth Lightfoot, Messenger of Durin's House is a Dwarf [Retired].
Last login 10 months and 17 days ago from *.ee.

I'm old, just plain old,
The body moves much slower now,
The head is bent and bowed.

While a weariness sits deep,
My promises I keep.

For I am exploring Arda
In my quiet twilight haze,
Of these slow and gentle days.

This peace and these old stories
Are my own Years of Gold.",,group_keyword_line,"Doreth Lightfoot, Messenger of Durin's House is a Dwarf [Retired].",medium,yes
whois_draconis_1780908133,char_draconis,Draconis,Silvan Warlock,"Draconis the Ancient, Warlock of House Dakmor is a level
    forty-four Silvan Warlock [Retired].
Last login 20 years, 6 months, and 9 days ago from *.ee.

                                    _.--.
                                   /_.--.\
                                  /' - - `\
                                  (        )
                                 _,`.   .;'_
…",,group_keyword_line,"Draconis the Ancient, Warlock of House Dakmor is a level",medium,yes
whois_dragóth_1780908182,,Dragóth,Tarkhnarb Veteran,"Dragóth the Slayer, of the Lost Legion is a level one hundred
    Tarkhnarb Veteran [Retired].

Total kills: 2208 (1317 distinct).",,group_keyword_line,"Dragóth the Slayer, of the Lost Legion is a level one hundred",low,yes
whois_elmo_1780908596,char_elmo,Elmo,Dwarven Battlemaster,"Elmo ooooh! that tickles! is a level thirty-nine Dwarven
    Battlemaster [Retired].
Last login 20 years, 5 months, and 29 days ago from *.ca.
Of Team Canada",,group_keyword_line,Of Team Canada,low,yes
whois_eloin_1780908601,char_eloin,Eloin,Sindarin Bodyguard,"Eloin is a level forty-four Sindarin Bodyguard [Retired].
Last login 2 years, 7 months, and 2 days ago from *.ee.",,group_keyword_line,Eloin is a level forty-four Sindarin Bodyguard [Retired].,low,yes
whois_elrik_1780908607,char_elrik,Elrik,Black Númenórean,"Elrik the black istar of the Black Shadow Clan is a Black
    Númenórean [Retired].
http://bsc.mandor.se/",,group_keyword_line,Elrik the black istar of the Black Shadow Clan is a Black,medium,yes
whois_enforcer_1780908656,char_enforcer,Enforcer,Maia,"Enforcer of Law and Order on Arda is a Maia.

Nr.1: Ragface, Sardaukar, Glaran, Wind, Grizzle, Pogo, Dungeonbrawler",,group_keyword_line,Enforcer of Law and Order on Arda is a Maia.,medium,yes
whois_erudhil_1780908728,char_erudhil,Erudhil,Black Númenórean Wizard,"Erudhil the Black, High Lord of the East is a level twenty-seven
    Black Númenórean Wizard [Retired].
	

	""An army may be compared to water, for water in its natural flowing
	 avoids the heights and hastens downwards. So in a war, an army
	 should avoid strength and strike at weakness.""",,group_keyword_line,"""An army may be compared to water, for water in its natural flowing",low,yes
whois_erudhil_1780908728,char_erudhil,Erudhil,Black Númenórean Wizard,"Erudhil the Black, High Lord of the East is a level twenty-seven
    Black Númenórean Wizard [Retired].
	

	""An army may be compared to water, for water in its natural flowing
	 avoids the heights and hastens downwards. So in a war, an army
	 should avoid strength and strike at weakness.""",,group_keyword_line,"avoids the heights and hastens downwards. So in a war, an army",low,yes
whois_féagwath_1780908898,,Féagwath,Black Númenórean,"Féagwath the Undead Sorcerer is a Black Númenórean [Retired].

I am he, who brings pestilence and sorrow
I am he, who ends your life tomorrow
I am he, who hardly ever sleeps
I am he, who harvests cries and weeps
I am he, who fades beyond the border
I am he, who spreads the flame of Mordor",,group_keyword_line,"I am he, who fades beyond the border",low,yes
whois_feärendil_1780908920,,Feärendil,Noldorin Scout,"Feärendil the Golden Star is a level twenty-nine Noldorin Scout
    [Retired].
Last login 9 months and 8 days ago from *.it.
 A golden-haired elf of the ancient house of Finarfin,
 misteriously arrived long ago to the golden woods of Laurelindórenan,
 when the world was young and the woods were not called Lórien yet.",,group_keyword_line,"A golden-haired elf of the ancient house of Finarfin,",medium,yes
whois_filibert_1780908986,char_filibert,Filibert,Maia,"Filibert Unisex is a Maia.
Proud member of the Army of Lovers!
Also playing:
- Meriadoc Brandybuck
- Dakkon Blackblade
- Curufin the Crafty
- Rapp the Jester of Barad-Dur
- Core Dumped
- Dwar the Dog-Lord of Depression
- Onatah the Witch of the Hill
- Manic Compression",,group_keyword_line,Proud member of the Army of Lovers!,medium,yes
whois_flói_1780909041,,Flói,Longbeard Hero,"Flói Darkbeard, Quickblade of Durin's House is a level sixty-one
    Longbeard Hero [Retired].
Last login 2 months and 28 days ago.
..",,group_keyword_line,"Flói Darkbeard, Quickblade of Durin's House is a level sixty-one",medium,yes
whois_fragir_1780909085,char_fragir,Fragir,Dwarven Priest,"Fragir the Exorcist, Monk of Durin's House is a level seventy-five
    Dwarven Priest.
Last login 1 month and 28 days ago from [numerical address].
Goia narrates 'thats 24 min'",,group_keyword_line,"Fragir the Exorcist, Monk of Durin's House is a level seventy-five",medium,yes
whois_gage_1780909169,char_gage,Gage,Dwarf,"Gage GreatHammer, of the Trueforgers is a Dwarf [Retired].
Last login 20 years, 7 months, and 14 days ago.

In Truth lies Honor
In Honor lies Glory
Honor to the Clan
Glory to the Clan",,group_keyword_line,Honor to the Clan,medium,yes
whois_gage_1780909169,char_gage,Gage,Dwarf,"Gage GreatHammer, of the Trueforgers is a Dwarf [Retired].
Last login 20 years, 7 months, and 14 days ago.

In Truth lies Honor
In Honor lies Glory
Honor to the Clan
Glory to the Clan",,group_keyword_line,Glory to the Clan,medium,yes
whois_gereb_1780909274,char_gereb,Gereb,Man,"Gereb of the Old Guard is a Man.

The thunder of hooves nearby, then a cry - chilling, jubilant, a warcry.
The bridges are burnt, swords unsheathed; the Rhudaur ride tonight.",,group_keyword_line,Gereb of the Old Guard is a Man.,low,yes
whois_gildur_1780909302,char_gildur,Gildur,Half-Elf,"Gildur the Half-elven Rider is a Half-Elf [Retired].
Last login 2 months and 26 days ago.
The Bastard Son of Gildor Inglorion of House Finrod",,group_keyword_line,The Bastard Son of Gildor Inglorion of House Finrod,medium,yes
whois_granvil_1780909536,char_granvil,Granvil,Black Númenórean Envoy,"Granvil the Senile Granny of Black Shadow Clan is a level
    fifty-four Black Númenórean Envoy [Retired].

The reborn Senile Granny of the Black Shadow Clan

http://bsc.mandor.se

emerald",,group_keyword_line,Granvil the Senile Granny of Black Shadow Clan is a level,medium,yes
whois_granvil_1780909536,char_granvil,Granvil,Black Númenórean Envoy,"Granvil the Senile Granny of Black Shadow Clan is a level
    fifty-four Black Númenórean Envoy [Retired].

The reborn Senile Granny of the Black Shadow Clan

http://bsc.mandor.se

emerald",,group_keyword_line,The reborn Senile Granny of the Black Shadow Clan,medium,yes
whois_gròk_1780909597,,Gròk,Dwarven Bodyguard,"Gròk Róks, Warmonger of Durin's Army is a level thirty-seven
    Dwarven Bodyguard [Retired].
Last login 13 years, 2 months, and 4 days ago from [numerical
    address].",,group_keyword_line,"Gròk Róks, Warmonger of Durin's Army is a level thirty-seven",low,yes
whois_gròk_1780909597,,Gròk,Dwarven Bodyguard,"Gròk Róks, Warmonger of Durin's Army is a level thirty-seven
    Dwarven Bodyguard [Retired].
Last login 13 years, 2 months, and 4 days ago from [numerical
    address].",,group_keyword_line,Dwarven Bodyguard [Retired].,low,yes
whois_grom_1780909603,char_grom,Grom,Tarkhnarb Battlemaster,"Grom Hellscream is a level thirty-four Tarkhnarb Battlemaster
    [Retired].

This former tunnel worker quickly developed his well-known lust for blood
and fought his way up through the Goblin ranks. It is told that against
the hammer of Grom none can stand, and he now holds the Chieftain titles
in the clans of the Warsong, the Shadowmoon and the Shattered Hand.

""Looks like meat's back on the menu, boys!""",,group_keyword_line,"in the clans of the Warsong, the Shadowmoon and the Shattered Hand.",low,yes
whois_grumph_1780909630,char_grumph,Grumph,Dwarf,"Grumph Hrothgar, Sniffer of Durin's Army is a Dwarf [Retired].
Last login 13 years, 2 months, and 13 days ago.",,group_keyword_line,"Grumph Hrothgar, Sniffer of Durin's Army is a Dwarf [Retired].",low,yes
whois_grunganator_1780909636,char_grunganator,Grunganator,Dwarven Battlemaster,"Grunganator Largefeet, Berserker of Durin's House is a level
    fifty-five Dwarven Battlemaster [Retired].
Last login 9 years, 2 months, and 8 days ago from *.net.

                      Real Dwarves use Axes",,group_keyword_line,"Grunganator Largefeet, Berserker of Durin's House is a level",medium,yes
whois_hanr_1780909782,char_hanr,Hanr,Dwarven Warden,"Hanr Whitebeard, Veteran of Durin's House is a level thirty-seven
    Dwarven Warden [Retired].
Last login 18 years, 1 month, and 14 days ago from *.ee.",,group_keyword_line,"Hanr Whitebeard, Veteran of Durin's House is a level thirty-seven",medium,yes
whois_hate_1780909821,char_hate,Hate,Black Númenórean Warlock,"Hate - Twisted Soul of the Black Shadow Clan is a level thirty-one
    Black Númenórean Warlock [Retired].

What's the smell of the things that doesnt smell?

--------> TERUEL EXISTE!! <------

Donde está mi elefante!!!???",,group_keyword_line,Hate - Twisted Soul of the Black Shadow Clan is a level thirty-one,medium,yes
whois_ibis_1780911859,char_ibis,Ibis,Dwarf,"Ibis The Lonely Wolf is a Dwarf [Retired].
Last login 17 years, 2 months, and 13 days ago.
Don't touch lynxes or die !

Master of Supressing The Unnesessary Lives
of The Sacred Clan of The Green Star",,group_keyword_line,of The Sacred Clan of The Green Star,medium,yes
whois_indra_1780911954,char_indra,Indra,Rohirric Bodyguard,"Indra the Weaponsmistress of Rohan is a level thirty-seven
    Rohirric Bodyguard [Retired].
Last login 17 years and 30 days ago from *.se.

Forth, Eorlingas!",,group_keyword_line,Rohirric Bodyguard [Retired].,low,yes
whois_innuendo_1780911970,char_innuendo,Innuendo,Half-elven Hero,"Innuendo Altharis, Noble of the House of Garador is a level
    thirty-six Half-elven Hero [Retired].
Last login 2 years, 6 months, and 15 days ago.

High and Mighty, alone we are Kings,
whirlwinds of Fire we ride!",,group_keyword_line,"Innuendo Altharis, Noble of the House of Garador is a level",medium,yes
whois_iolo_1780911987,char_iolo,Iolo,Silvan Ranger,"Iolo of Mirkwood, Major o'Army of Thranduil is a level thirty
    Silvan Ranger.
Last login 8 months and 2 days ago from *.net.",,group_keyword_line,"Iolo of Mirkwood, Major o'Army of Thranduil is a level thirty",low,yes
whois_ivanushka_1780912054,char_ivanushka,Ivanushka,Black Númenórean,"Ivanushka Foolproof of Black Shadow Clan is a Black Númenórean
    [Retired].
Don't drink from the pool Ivanushka! , she said.
But it was already too late ....

http://bsc.mandor.se",,group_keyword_line,Ivanushka Foolproof of Black Shadow Clan is a Black Númenórean,medium,yes
whois_jadon_1780912082,char_jadon,Jadon,the Kaoolest is a Maia,"Jadon is the Kaoolest [Retired] is a Maia.

Bobsled News from Valinor:

* Warrens I is still the team to beat.
* Rumors from the Goblin Caves suggest a team is forming.
* Reports of an Elven doping scandal remain under investigation.
* The Blue Mountains team has been banned from using Mithril components.
* Next Misty Mountains Invitational planned for the 1st of Solmath.
* The Zaugurz Tribe issued a Press Release stating:
'We have a pretty unbeatable team
…",,group_keyword_line,* Warrens I is still the team to beat.,low,yes
whois_jadon_1780912082,char_jadon,Jadon,the Kaoolest is a Maia,"Jadon is the Kaoolest [Retired] is a Maia.

Bobsled News from Valinor:

* Warrens I is still the team to beat.
* Rumors from the Goblin Caves suggest a team is forming.
* Reports of an Elven doping scandal remain under investigation.
* The Blue Mountains team has been banned from using Mithril components.
* Next Misty Mountains Invitational planned for the 1st of Solmath.
* The Zaugurz Tribe issued a Press Release stating:
'We have a pretty unbeatable team! and an extra sled behind us with flasks'",,group_keyword_line,* Rumors from the Goblin Caves suggest a team is forming.,low,yes
whois_jadon_1780912082,char_jadon,Jadon,the Kaoolest is a Maia,"Jadon is the Kaoolest [Retired] is a Maia.

Bobsled News from Valinor:

* Warrens I is still the team to beat.
* Rumors from the Goblin Caves suggest a team is forming.
* Reports of an Elven doping scandal remain under investigation.
* The Blue Mountains team has been banned from using Mithril components.
* Next Misty Mountains Invitational planned for the 1st of Solmath.
* The Zaugurz Tribe issued a Press Release stating:
'We have a pretty unbeatable team! and an extra sled behind us with flasks'",,group_keyword_line,* The Blue Mountains team has been banned from using Mithril components.,low,yes
whois_jadon_1780912082,char_jadon,Jadon,the Kaoolest is a Maia,"…
tired] is a Maia.

Bobsled News from Valinor:

* Warrens I is still the team to beat.
* Rumors from the Goblin Caves suggest a team is forming.
* Reports of an Elven doping scandal remain under investigation.
* The Blue Mountains team has been banned from using Mithril components.
* Next Misty Mountains Invitational planned for the 1st of Solmath.
* The Zaugurz Tribe issued a Press Release stating:
'We have a pretty unbeatable team! and an extra sled behind us with flasks'",,group_keyword_line,* The Zaugurz Tribe issued a Press Release stating:,medium,yes
whois_jadon_1780912082,char_jadon,Jadon,the Kaoolest is a Maia,"…
rens I is still the team to beat.
* Rumors from the Goblin Caves suggest a team is forming.
* Reports of an Elven doping scandal remain under investigation.
* The Blue Mountains team has been banned from using Mithril components.
* Next Misty Mountains Invitational planned for the 1st of Solmath.
* The Zaugurz Tribe issued a Press Release stating:
'We have a pretty unbeatable team! and an extra sled behind us with flasks'",,group_keyword_line,'We have a pretty unbeatable team! and an extra sled behind us with flasks',low,yes
whois_johannes_1780912193,char_johannes,Johannes,Dúnadan Apprentice,"Johannes is a level one Dúnadan Apprentice [Retired].
Last login 25 years and 27 days ago from *.dk.

Akhorahil  Eldarion   Ithilagos  Merimac    Quin       Uralyon    Ymer
Bambi      Féagwath   Johannes   Nénar      Rugorn     Vincenzo   Zuljin
Chógâll    Grom       Kurdran    Ogyf       Shathûr    Wilwarin
Danath     Harowen    Legion     Pomfrit    Terendul   X...

Immortal:  Atlas.

If you wish to contact me, MUME mail Atlas.",,group_keyword_line,Danath     Harowen    Legion     Pomfrit    Terendul   X...,low,yes
whois_kaool_1780912300,char_kaool,Kaool,Cave Troll Warrior,"Kaool Runnings and the Olog-hai Bobsled Team is a level
    thirty-three Cave Troll Warrior [Retired].

Bobsled Results - Misty Mountains Invitational

1. Warrens 1 (Kaool; Grinder), 1:34.55
2. Switzerland 1 (Christian Reich; Steve Anderhub), 1:35.05.
3. Germany 1 (Christoph Langen; Markus Zimmermann), 1:35.06.
4. Switzerland 2 (Martin Annen; Beat Hefti), 1:35.20.
5. Canada 1 (Pierre Lueders; Giulio Za
…",,group_keyword_line,Kaool Runnings and the Olog-hai Bobsled Team is a level,low,yes
whois_kess_1780912367,char_kess,Kess,Dwarf,"Kess the Golden Eagle, House of Kesslor is a Dwarf [Retired].
Last login 13 years, 9 months, and 1 day ago.",,group_keyword_line,"Kess the Golden Eagle, House of Kesslor is a Dwarf [Retired].",medium,yes
whois_kessfare_1780912373,char_kessfare,Kessfare,Dwarf,"Kessfare the Rat, House of Kesslor is a Dwarf [Retired].
Last login 3 years, 9 months, and 3 days ago.",,group_keyword_line,"Kessfare the Rat, House of Kesslor is a Dwarf [Retired].",medium,yes
whois_kesslin_1780912389,char_kesslin,Kesslin,Dwarf,"Kesslin the White Bear, House of Kesslor is a Dwarf [Retired].
Last login 15 years, 8 months, and 11 days ago.
mark@ons.ca",,group_keyword_line,"Kesslin the White Bear, House of Kesslor is a Dwarf [Retired].",medium,yes
whois_kessloth_1780912395,char_kessloth,Kessloth,Dwarven Axemaster,"Kessloth the Sly Mongoose, House of Kesslor is a level twenty-six
    Dwarven Axemaster [Retired].
Last login 22 years, 7 months, and 26 days ago from *.net.",,group_keyword_line,"Kessloth the Sly Mongoose, House of Kesslor is a level twenty-six",medium,yes
whois_kesstor_1780912400,char_kesstor,Kesstor,Dwarven Chieftain,"Kesstor the Silver Badger, House of Kesslor is a level thirty
    Dwarven Chieftain [Retired].
Last login 13 years and 9 months ago from *.se.",,group_keyword_line,"Kesstor the Silver Badger, House of Kesslor is a level thirty",medium,yes
whois_kilin_1780912524,char_kilin,Kilin,Dwarven Hero,"Kilin Ironfist, Gateguard of Helm's Deep is a level forty-four
    Dwarven Hero [Retired].
Last login 24 years, 3 months, and 13 days ago from *.ee.",,group_keyword_line,"Kilin Ironfist, Gateguard of Helm's Deep is a level forty-four",low,yes
whois_koff_1780912591,char_koff,Koff,Noldorin Bodyguard,"Koff III Olut is a level twenty-five Noldorin Bodyguard [Retired].
Last login 21 years, 4 months, and 28 days ago from *.fi.",,group_keyword_line,Koff III Olut is a level twenty-five Noldorin Bodyguard [Retired].,low,yes
whois_korin_1780912619,char_korin,Korin,Dwarven Warden,"Korin is a level seventeen Dwarven Warden [Retired].
Last login 24 years, 7 months, and 22 days ago from *.s.

The Broadbeams, one of the Awakening of the Seven Ancestors of Dwarves,
awoke in Ered Lindon with our brothern clan, the Firebeards. The yrch
have ransacked Mount Gundabad, our kingdom, and the Dwarves of Belegost
seek revenge.",,group_keyword_line,"awoke in Ered Lindon with our brothern clan, the Firebeards. The yrch",medium,yes
whois_lâirâthim_1780912743,,Lâirâthim,Black Númenórean,"Lâirâthim - Backfire of the Black Shadow Clan is a Black
    Númenórean [Retired].
   |\                        |\          .(' *) ' .     .(' *) ' .
   | \           *           | \        ' .*) .'*      ' .*) .'*
   |(*\         //           |(*\      .*(// .*) .    .*(   .*) .     //
   |___\       //            |___\       // (. '*          (. '*     //
   (((""'\     //             (((""'\     // '
…",,group_keyword_line,Lâirâthim - Backfire of the Black Shadow Clan is a Black,medium,yes
whois_légion_1780912849,,Légion,Noldorin Hero,"Légion Doomcaller is a level thirty-five Noldorin Hero [Retired].
Last login 23 years, 5 months, and 9 days ago from [numerical
    address].

And the Lords of the West bade the unpure spirits
to be gone, and asked of him: ""What is thy name?""

He answered: ""Call me Legion; for we are many""",,group_keyword_line,"He answered: ""Call me Legion; for we are many""",low,yes
whois_líëf_1780912894,,Líëf,Dwarf,"Líëf O'le, Commander of Durin's Army is a Dwarf [Retired].

There are two yous that exist.  The you that is in your mind, and
the you that is in everyone else's mind.  What you are afraid of is
the you that is in everyone else's mind.

I still exist because he needs me.  When I am of no use anymore, he will
abandon me.  I've prayed for the day he'd abandon me.  But now,
now I fear it.

What? What feeling
…",,group_keyword_line,"Líëf O'le, Commander of Durin's Army is a Dwarf [Retired].",low,yes
whois_lotheila_1780913030,char_lotheila,Lotheila,Black Númenórean,"Lotheila The Evil Snake of Black Shadow Clan is a Black
    Númenórean.
GER
i dont enchant sorry...",,group_keyword_line,Lotheila The Evil Snake of Black Shadow Clan is a Black,medium,yes
whois_lowanda_1780913047,char_lowanda,Lowanda,Silvan Bodyguard,"Lowanda once lived on 1 hp! is a level thirty-two Silvan Bodyguard
    [Retired].
Last login 23 years and 30 days ago from [numerical address].
A strong warrior, travelling the lands.
Always willing to help a cleric or a mage.",,group_keyword_line,Lowanda once lived on 1 hp! is a level thirty-two Silvan Bodyguard,low,yes
whois_meriadoc_1780913367,char_meriadoc,Meriadoc,Harfoot Hero,"Meriadoc Brandybuck is a level forty Harfoot Hero [Retired].
Last login 23 years and 24 days ago from *.com.
Proud member of Army Of Lovers! (codename: Jarmo).",,group_keyword_line,Proud member of Army Of Lovers! (codename: Jarmo).,medium,yes
whois_miler_1780913441,char_miler,Miler,Orc,"Miler Madson is an Orc.
I'm only here for something to do while I procrastinate.

The second cousin, twice removed, of the most rancid part of the N'Ekasrof clan",,group_keyword_line,"The second cousin, twice removed, of the most rancid part of the N'Ekasrof clan",medium,yes
